items_id,rfid,model_id,dateAcquired,location_id,serialNum,comments,price,pbhrnumber,user_id,accountedFor,alias,delete_Boolean
4544,2F2203438544D320000000BD,5169,NULL,48,J034YB1,IT305 Training Laptop,NULL,NULL,50,Missing,NULL,
4545,2F2203438544D320000000BE,5169,NULL,48,50PV9B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4546,2F2203438544D320000000BF,5169,NULL,48,5WSB7D1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4547,2F2203438544D320000000C0,5169,NULL,48,79X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4548,2F2203438544D320000000C1,5169,NULL,48,DJ13YB1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4549,2F2203438544D320000000C2,5169,NULL,48,49X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4550,2F2203438544D320000000C3,5169,NULL,48,CVJ36B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4551,2F2203438544D320000000C4,5169,NULL,48,75X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4552,2F2203438544D320000000C5,5169,NULL,48,12SB7D1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4553,2F2203438544D320000000C6,5169,NULL,48,89X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4554,2F2203438544D320000000C7,5169,NULL,48,69X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4555,2F2203438544D320000000C8,5169,NULL,48,15XL5B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4533,2F2203438544D320000000CB,5168,NULL,48,5J8KKK1,NULL,NULL,NULL,44,Found,USMANBDDDICK2,
4556,2F2203438544D320000000CC,5169,NULL,48,29X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4557,2F2203438544D320000000CD,5169,NULL,48,74XL5B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4558,2F2203438544D320000000CE,5169,NULL,48,59X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4559,2F2203438544D320000000CF,5169,NULL,48,2MW26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4560,2F2203438544D320000000D0,5169,NULL,48,3MW26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4561,2F2203438544D320000000D1,5169,NULL,48,4MW26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4562,2F2203438544D320000000D2,5169,NULL,48,J0SB7D1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4563,2F2203438544D320000000D3,5169,NULL,48,3VSB7D1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4564,2F2203438544D320000000D4,5169,NULL,48,6JW26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
